,,,,,,,,,,,,,,,,,,,
Name,Type,AirCon,Reputed_CCAs,Hostel Activities,MealPlan,Meal Plan Costs,Fee_Weekly,Sem 1 Total Cost,Vibes,1st Nearest Faculty,2nd Nearest Faculty,3rd Nearest Faculty,4th Nearest Faculty,Modules,Room_Types,Toilet,Virtual_Tour,Requirements,Image URL
Eusoff Hall,Hall,Non air-con,Sports,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2543,Sports,FASS(Faculty of Arts and Social Sciences),SDE (Design and Environment),CDE (Engineering),SoC(Computing),Yes(Optional),Double,Common,https://www.nus.edu.sg/oam/virtual-tour/eusoff-hall/,Good CCA Track Record (Participate in FLAG),https://osa.nus.edu.sg/wp-content/uploads/2023/11/EH.jpg
Kent Ridge Hall,Hall,Non air-con,Performing Arts,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2544,Social,Business,SoC(Computing),FASS(Faculty of Arts and Social Sciences),CDE (Engineering),Yes (Optional),Single,Common,https://www.nus.edu.sg/oam/virtual-tour/kent-ridge-hall/,Good CCA Track Record (Participate in FLAG),https://osa.nus.edu.sg/wp-content/uploads/2024/02/KRH.jpg
King Edward VII Hall,Hall,Non air-con,Balanced,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2545,Relaxed,Medicine,Business,FoS(Science),SoC(Computing),Yes (Optional),Double,Common,https://www.nus.edu.sg/oam/virtual-tour/ke7/,Good CCA Track Record (Participate in FLAG),https://osa.nus.edu.sg/wp-content/uploads/2023/11/KEVII.jpg
Raffles Halll,Hall,Non air-con,Performing Arts,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2546,Relaxed,CDE (Engineering),YST Conservatory,SDE (Design and Environment),NULL,Yes (Optional),Double,Common,https://www.nus.edu.sg/oam/virtual-tour/raffles-hall/,Good CCA Track Record (Participate in FLAG),https://osa.nus.edu.sg/wp-content/uploads/2023/11/RH.jpg
Sheares Hall,Hall,Non air-con,Performing Arts,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2547,Social,Business,SoC(Computing),FASS(Faculty of Arts and Social Sciences),CDE (Engineering),Yes (Optional),Single ,Common,https://www.nus.edu.sg/oam/virtual-tour/sheares-hall/,Good CCA Track Record (Participate in FLAG),https://osa.nus.edu.sg/wp-content/uploads/2023/11/SH.jpg
Temasek Hall,Hall,Non air-con,Sports,Yes,Yes (Compulsory),$671.00 ,$165 ,$3389 - 2548,Sports,FASS(Faculty of Arts and Social Sciences),SoC(Computing),Business,SDE (Design and Environment),Yes (Optional),Double,Common,https://www.nus.edu.sg/oam/virtual-tour/temasek-hall/,Good CCA Track Record (Participate in FLAG),https://temasek.nus.edu.sg/wp-content/uploads/sites/7/2025/08/Temasek-Hall-Homepage-Banner.jpg
Helix House,Houses,Air-con / Non air-con,Balanced,Yes,No,N/A,$201 ,$2613 - 2314,Relaxed,Medicine,Business,FoS(Science),SoC(Computing),No,Single ,Common,https://www.nus.edu.sg/oam/virtual-tour/pgpr/,Essays,https://content.presspage.com/uploads/2580/540c30ce-6827-4cfc-8263-59dadbf5105a/1920_lkc2.jpg?10000
Pioneer House,Houses,Air-con / Non air-con,Balanced,Yes,No,N/A,$201 ,$2613 - 2315,Balanced,Medicine,Business,FoS(Science),SoC(Computing),No,Single ,Common,https://www.nus.edu.sg/oam/virtual-tour/pgpr/,Portfolio Submissions,https://nus.edu.sg/osa/images/default-source/pioneer-library/ph-entrance3.jpg?sfvrsn=6d1f0883_4
LightHouse,Houses,Air-con / Non air-con,Balanced,Yes,No,N/A,$201 ,$2613 - 2316,Relaxed,Medicine,Business,FoS(Science),SoC(Computing),No,Single ,Common,https://www.nus.edu.sg/oam/virtual-tour/pgpr/,References / Portfolio,https://nus.edu.sg/osa/images/librariesprovider15/lighthouse/photo_2023-02-20_15-58-36.jpg?sfvrsn=7d21d0c6_0
Valour House,Houses,Air-con / Non air-con,Sports,Yes,No,N/A,$195 ,"$2,535 ",Sports,FoS(Science),Medicine,Dentistry,CDE (Engineering),No,Single ,Common,NULL,Portfolio / Essay / Interview,https://valourhouse.nus.edu.sg/wp-content/uploads/sites/5/2025/04/og-image.jpg
